Sem a pandemia qual seria o seu ano provável de formatura?,Você atualmente possui acesso à internet?,Atualmente você consegue (você pode escolher várias opções):,Na questão anterior você selecionou todas as opções?,Qual equipamento te falta para realizar todas as atividades remotamente?,As condições do seu local de estudo são:,Atualmente o que falta em seu local de estudo para ele ser ótimo?,"Atualmente, quanto os livros da biblioteca física são importantes para seus estudos?",Quantas disciplinas a distância você conseguiria cursar em um semestre? Note que ela pode demandar mais tempo que uma disciplina presencial.,Quais seus motivos para não fazer aulas a distância? Seja sincero.,"Desconsiderando suas atuais limitações de acesso, quais disciplinas você estaria disposto a cursar a distância no próximo semestre? (você tem que ter o pré-requisito)","Para que uma disciplina possa ser oferecida a distância, quantos dos alunos interessados e que tenham o pré-requisito devem ter condições de cursá-la?",Quais tipos de disciplinas deveriam ser oferecidas a distância durante o isolamento social (você pode escolher várias opções ou nenhuma)?,"Faça aqui outros comentários, dúvidas para aprimorarmos nosso levantamento de dados"
Ou após 2021,"Sim, mas restrito a emails e mensagens","Baixar e ver vídeos, Baixar e ler textos",Não,Wifi,"Aceitáveis, alguma dificuldade de concentração",Privacidade,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Nenhuma,"Não, ter acesso a internet em casa","FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, MINERAÇÃO DE DADOS, PROBABILIDADE 1, PROBABILIDADE 2",,,
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, INFERÊNCIA ESTATISTICA A, PROBABILIDADE 2, PROGRAMAÇÃO ESTATÍSTICA","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,"Um computador, pois faço tudo pelo celular","Aceitáveis, alguma dificuldade de concentração","Um ambiente restrito dos outros moradores da casa, pois comumente eles passam e realizam suas atividades, dificultando muito a concentração.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA","Muitos, 50% ou mais tem condições","Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INFERÊNCIA ESTATÍSTICA (6 Créditos), INTRODUÇÃO À TEORIA DAS FILAS, PROBABILIDADE 2",Todos,"Optativas, Disciplinas de final de curso, ACIEPEs",
2020,"Sim, mas restrito a emails e mensagens","Escrever e rodar códigos de computador, Baixar e ler textos",Não,internet estável,"Ruins, muita dificuldade de concentração",silencio,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,TG1,Todos,"Optativas, Disciplinas de final de curso, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Computador,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, ANÁLISE DE RISCOS, ATUÁRIA GERAL, CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, ESTATÍSTICA NÃO-PARAMÉTRICA, ESTUDOS POPULACIONAIS, FUNDAMENTOS DE PROBABILIDADE, INFERÊNCIA ESTATÍSTICA (6 Créditos), INFERÊNCIA ESTATISTICA A, INFERÊNCIA ESTATISTICA B, INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, INTRODUÇÃO À TEORIA DAS FILAS, MÉTODOS EM BIOMETRIA, MINERAÇÃO DE DADOS, PESQUISA DE MERCADO, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 2, PROBABILIDADE 1, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS, SÉRIES TEMPORAIS, SÉRIES FINANCEIRAS","Quase todos, menos de 10% não tem condições",Optativas,
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Um notebook..,"Aceitáveis, alguma dificuldade de concentração",Um notebook ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias gerais, ACIEPEs",Coloquei obrigatórias mas me pego na dúvida se não é um processo exclusivo com quem não tem condições pra acompanhar o semestre a distância....
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"ESTATÍSTICA BAYESIANA, INFERÊNCIA ESTATÍSTICA (6 Créditos), INTRODUÇÃO À TEORIA DAS FILAS, PESQUISA DE MERCADO, SÉRIES TEMPORAIS","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,Baixar e ler textos,Não,Espaço de estudo ,"Ruins, muita dificuldade de concentração",Silêncio e melhor internet,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Nenhuma,"Lugar silencioso, melhor internet e condições psicológicas ","FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ATUÁRIA GERAL, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, INFERÊNCIA ESTATÍSTICA (6 Créditos), INTRODUÇÃO À TEORIA DAS FILAS, PROCESSOS ESTOCÁSTICOS","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, ESTATÍSTICA NÃO-PARAMÉTRICA, LABORATÓRIO DE ESTATÍSTICA APLICADA, MINERAÇÃO DE DADOS, PROCESSOS ESTOCÁSTICOS, SÉRIES FINANCEIRAS, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Paz,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, PROBABILIDADE 2",Todos,"Optativas, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,Escrever e compartilhar textos,Não,Nenhum,"Aceitáveis, alguma dificuldade de concentração",Nada,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, PROBABILIDADE 1","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais",
